model,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand,car_age
 A4,10.239459664115659,Semi-Auto,8.895629627136483,Petrol,145.0,38.2,2.0,Audi,1.0986122886681098
 Q2,10.239459664115659,Semi-Auto,7.254884810077338,Petrol,145.0,40.9,1.5,Audi,1.0986122886681098
 Q5,10.515356887954205,Automatic,8.544029845369797,Diesel,145.0,38.2,2.0,Audi,1.0986122886681098
 Q5,10.515356887954205,Automatic,8.703672758358856,Diesel,145.0,38.2,2.0,Audi,1.0986122886681098
 Q5,10.515356887954205,Semi-Auto,2.3978952727983707,Petrol,145.0,32.1,2.0,Audi,0.6931471805599453
 Q7,10.515356887954205,Automatic,2.3978952727983707,Diesel,145.0,33.2,3.0,Audi,1.0986122886681098
 Q7,10.515356887954205,Automatic,2.3978952727983707,Diesel,145.0,33.2,3.0,Audi,1.0986122886681098
 Q5,10.515356887954205,Semi-Auto,2.3978952727983707,Petrol,145.0,30.7,2.0,Audi,0.6931471805599453
 A4,10.373053586050816,Semi-Auto,2.3978952727983707,Petrol,145.0,42.2,2.0,Audi,0.6931471805599453
 Q7,10.308485885054848,Automatic,10.770735088230952,Diesel,175.0,47.9,3.0,Audi,1.9459101490553132
 A1,9.43236329562169,Semi-Auto,10.189643460991862,Petrol,95.0,57.6,1.4,Audi,1.9459101490553132
 A5,10.126070946991774,Automatic,8.531490496117062,Petrol,145.0,50.4,2.0,Audi,1.3862943611198906
 A5,9.998161166138809,Semi-Auto,10.240388268775408,Petrol,175.0,34.9,3.0,Audi,1.9459101490553132
 Q3,10.46270326045021,Automatic,2.3978952727983707,Diesel,145.0,47.1,2.0,Audi,1.0986122886681098
 A5,10.308485885054848,Automatic,2.3978952727983707,Diesel,145.0,51.4,2.0,Audi,1.0986122886681098
 Q3,10.448308723560077,Automatic,2.3978952727983707,Diesel,145.0,47.1,2.0,Audi,1.0986122886681098
 A1,9.887663002189157,Manual,2.3978952727983707,Petrol,145.0,49.6,1.0,Audi,1.0986122886681098
